mark-file	packet	quote	bin	matched-packets
invoke-1786551236084-4365-9d3d528f.txt	b95J01-009.txt	a clean source cannot depend on sorryAx … sorries>0 with a sorryAx-free main theorem is NOT a contradiction — the sorry may live in a helper the main theorem does not use	A	b95J01-009.txt
invoke-1786551236084-4365-9d3d528f.txt	b95J01-009.txt	OnUnitInactiveSec only schedules once the unit goes inactive, so a one-shot timer would have been a silent failure of the same kind I'm trying to catch	A	b95J01-009.txt
invoke-1786550890666-4337-69c51634.txt	b98A03-001.txt	Build disjoint bump functions with heights 1/n so partial sums converge uniformly but the supremum series diverges.	A	b98A03-001.txt
invoke-1786550890666-4337-69c51634.txt	b98A03-001.txt	Antipodal map has degree (−1)^{n+1} and reversing a vector field flips the local index sign.	A	b98A03-001.txt
invoke-1786550890666-4337-69c51634.txt	b98A03-001.txt	Scaling coordinates on CP² gives fixed points whose local Lefschetz numbers sum to χ(CP²), and generalizes to CP^n.	D	
invoke-1786550890666-4337-69c51634.txt	b98A03-001.txt	Use the double cover S³→RP³ and Stokes to compute the integral.	A	b98A03-001.txt
invoke-1786550890666-4337-69c51634.txt	b98A03-001.txt	Averaging over [t−h,t+h] yields a continuous f_h with Hölder-type bound via Hölder's inequality.	D	
invoke-1786551454132-4381-f67c1744.txt	b98A04-002.txt	a singleton contributes nothing to any integral — so Hilbert extensionality identifies them, while their `weakDeriv` fields are unequal by construction. Contradiction. No `H01Model` exists, so every theorem quantified over one is vacuously true.	A	b98A04-002.txt
invoke-1786551454132-4381-f67c1744.txt	b98A04-002.txt	It would have survived every mechanical gate we have: no sorry, no opaque, no bad axiom, compiles clean. Only someone asked to use the structure would hit it.	A	b98A04-002.txt
invoke-1786551454132-4381-f67c1744.txt	b98A04-002.txt	the agent also correctly refused to repair a frozen statement and reported instead	A	b98A04-002.txt
invoke-1786552028021-4417-58bae9d8.txt	b01J02-004.txt	a00J02 uses Mathlib's own `AbsolutelyContinuousOnInterval` — I verified it exists in the pin and that it's the convention two prior solved problems already use, so the formalizer matched corpus precedent	D	
invoke-1786552028021-4417-58bae9d8.txt	b01J02-004.txt	a03J04 renders all three parts with the constant's dependency order right (`∀p ∃c ∀f` — c depends on n,p as the source demands)	D	
invoke-1786552028021-4417-58bae9d8.txt	b01J02-004.txt	a03J01 encodes 'precisely j of the sets' via `encard = j` with correct j+1 reindexing	D	
invoke-1786552028021-4417-58bae9d8.txt	b01J02-004.txt	the 'use a contour integral' method prescription isn't formalizable and correctly lives only in the source	D	
invoke-1786552028021-4417-58bae9d8.txt	b01J02-004.txt	statements are hash-frozen and explicitly not theirs to repair — if one looks wrong or unprovable, saying so in the report is the valuable outcome	D	
invoke-1786551041110-4346-98633782.txt	b97J01-002.txt	the Eilenberg–Moore coalgebra of a comonad — `structure Discharge G` wraps a `Comonad.Coalgebra`; `opened` = coalgebra map `A ⟶ G A`, `filled` = counit `ε : G A ⟶ A`	A	b97J01-002.txt
invoke-1786551041110-4346-98633782.txt	b97J01-002.txt	the starvation is a theorem — `IsHungry gammaFeedHole GammaPort.expectedDG` was originally a theorem capturing a real pipeline bug... a same-day repair commit flipped the satiety grade to `canon`, so the file now proves the negation... 'a wiring diagram that compiles is a wiring diagram someone must keep true.'	A	b97J01-002.txt
invoke-1786551451239-4375-58ebf1b8.txt	b00J02-007.txt	A doubly periodic entire function is bounded on a fundamental parallelogram, so Liouville's theorem makes it constant.	A	b00J02-007.txt
invoke-1786551451239-4375-58ebf1b8.txt	b00J02-007.txt	this is a standard Schwarz lemma refinement: `f(0)=f'(0)=0` and `|f'|≤1` give `|f(z)|≤|z|²/2` directly	A	b00J02-007.txt
invoke-1786551451239-4375-58ebf1b8.txt	b00J02-007.txt	Nonzero intersection number forces the complement Y∖W to stay connected by standard Poincaré duality arguments.	A	b00J02-007.txt
invoke-1786551449794-4372-d61405c2.txt	b00J02-004.txt	Since H₁(X) is finite, any map to the torus (with H₁≅ℤ²) kills π₁, hence is null-homotopic.	A	b00J02-004.txt
invoke-1786551449794-4372-d61405c2.txt	b00J02-004.txt	Rademacher/Walsh-like functions are orthogonal in L^∞, so integrals against bounded f vanish.	A	b00J02-004.txt
invoke-1786551455553-4384-d5e8b19d.txt	b98A04-005.txt	its second named lemma (`normalCore = ⊥` for a non-normal prime-card subgroup) is also absent but trivial — subgroups of a prime-order group are `⊥` or itself.	A	b98A04-005.txt
invoke-1786550889565-4335-12e6dc68.txt	b97A02-009.txt	`apm_m99j04_HasEigenHilbertBasis` quantifies `ι : Type` (universe 0), while `𝕜` and `H` are universe-polymorphic. The natural assembled index has type `Σ μ : 𝕜, basisIndex ...` which lives in `Type (max u𝕜 uH)`.	A	b97A02-009.txt
invoke-1786550889565-4335-12e6dc68.txt	b97A02-009.txt	`H01Model.realizes` treats weak derivatives as literal functions, while `inner_eq` observes them only through integrals. Take u = 0 with two derivatives — `du₀ = 0` and `du₁ = indicator {1/2} 1`. Both satisfy `isH01Pair` (they agree a.e.) ... so Hilbert extensionality identifies them, while their `weakDeriv` fields are unequal by construction.	A	b97A02-009.txt
invoke-1786550889565-4335-12e6dc68.txt	b97A02-009.txt	outcome B — existing Mathlib material closed the gap	A	b97A02-009.txt
invoke-1786551231948-4357-7f369e40.txt	b95J01-001.txt	Build disjoint bump functions with heights 1/n so partial sums converge uniformly but the supremum series diverges.	A	b95J01-001.txt
invoke-1786551231948-4357-7f369e40.txt	b95J01-001.txt	Nearest-point projection onto a closed subset of Rⁿ arises from completeness and compactness of closed balls.	A	b95J01-001.txt
invoke-1786551231948-4357-7f369e40.txt	b95J01-001.txt	Positive limsup of f⁽ⁿ⁾(0)/n! contradicts unit-disk containment via Taylor radius	A	b95J01-001.txt
invoke-1786551237529-4368-02d926ec.txt	b95J01-012.txt	Last *statement-establishing* record wins — NOT simply the last record. Before this was scoped, `pass1_gate` wrote the hash it observed into the manifest, so detecting a substitution OVERWROTE the reference the substitution had violated: re-checking then reported clean, and the detector erased its own evidence	A	b95J01-012.txt
invoke-1786551237529-4368-02d926ec.txt	b95J01-012.txt	`opaque` adds no axioms, so a statement resting on uninterpreted constants passes both the sorry count and the sweep while not being about its own subject.	A	b95J01-012.txt
invoke-1786551452658-4378-a4e0440f.txt	b00J02-010.txt	sorries>0 with a sorryAx-free main theorem is NOT a contradiction — the sorry may live in a helper the main theorem does not use.	A	b00J02-010.txt
invoke-1786551452658-4378-a4e0440f.txt	b00J02-010.txt	"the lakefile pins mathlib to `rev = master""` … these are bit-rot from Mathlib drift"" … [later] ""mathlib pinned at 5ee5050 since 2026-03-29 … Joe's right to push — and the answer overturns my own claim."""	C	b97J01-010.txt
invoke-1786550892096-4340-8c6b59f5.txt	b98A03-004.txt	Riemann removable singularity theorem applies since |f(z)||z|^{1/2} stays bounded.	A	b98A03-004.txt
invoke-1786550892096-4340-8c6b59f5.txt	b98A03-004.txt	Transversality to the diagonal forces df_p − I invertible, giving the stated orientation sign.	A	b98A03-004.txt
invoke-1786550892096-4340-8c6b59f5.txt	b98A03-004.txt	Rewriting ζ̄ = 1/ζ on the unit circle plus Cauchy's formula fits the current contour integral API	A	b98A03-004.txt
invoke-1786551233636-4360-7c85ff8b.txt	b95J01-004.txt	Riemann removable singularity theorem applies since |f(z)||z|^{1/2} stays bounded.	A	b95J01-004.txt
invoke-1786551233636-4360-7c85ff8b.txt	b95J01-004.txt	Rewriting z̄=1/z on the unit circle plus Cauchy's formula fits the current contour integral API	A	b95J01-004.txt
invoke-1786551451717-4376-f3b316cf.txt	b00J02-008.txt	`_declaration_delimiter` returns the end of the statement (the `:=`), which is exactly right for hashing but wrong here — I was splicing `#print axioms` between a theorem and its proof.	A	b00J02-008.txt
invoke-1786551451717-4376-f3b316cf.txt	b00J02-008.txt	the axiom list wraps across lines, so `Classical.choice` arrives as `\nClassical.choice` and fails the whitelist — which had briefly marked every problem dirty.	A	b00J02-008.txt
invoke-1786551451717-4376-f3b316cf.txt	b00J02-008.txt	Dispatch FIRST, then log the hop. Logging first spent a hop on a dispatch that never happened, so an exhausted-quota window would silently burn all three hops	A	b00J02-008.txt
invoke-1786551451717-4376-f3b316cf.txt	b00J02-008.txt	a statement flagged DURING the run stayed on its worklist: t00J04 was flagged at 19:04 and a hop was spent proving it at 20:56, closing a statement already condemned for a missing part.	A	b00J02-008.txt
invoke-1786551455075-4383-84093de4.txt	b98A04-004.txt	it takes the easy half — the real work is extending `apm_m97A01_polarOnRange` continuously to the closure and proving uniqueness, both untouched.	A	b98A04-004.txt
invoke-1786551455075-4383-84093de4.txt	b98A04-004.txt	`bridge_1` asserts the stencil predicate ⟺ the tridiagonal matrix equation, and the file already contains `apm_m96a05_unique_of_det` taking exactly that equivalence as an explicit `hscheme` hypothesis — so the bridge discharges something the existing helper openly demands.	A	b98A04-004.txt
invoke-1786550891147-4338-dc70ff54.txt	b98A03-002.txt	A nonzero Euler characteristic forbids submersions onto S¹ because it would give a nowhere-vanishing vector field.	A	b98A03-002.txt
invoke-1786550891147-4338-dc70ff54.txt	b98A03-002.txt	Lefschetz number equals the product of trace contributions from the π-rotation and reflections; it's nonzero so h isn't null-homotopic.	A	b98A03-002.txt
invoke-1786550894651-4344-f1eb77e2.txt	b98A03-008.txt	Logging first spent a hop on a dispatch that never happened, so an exhausted-quota window would silently burn all three hops of every remaining target without a single attempt ever reaching a seat.	A	b98A03-008.txt
invoke-1786550894651-4344-f1eb77e2.txt	b98A03-008.txt	Acceptance: propext, Classical.choice, Quot.sound ONLY. Anything else — above all `native_decide` — is a defect a clean `lake build` will never show you.	A	b98A03-008.txt
invoke-1786551237067-4367-ea0c1b31.txt	b95J01-011.txt	the opaque predicate becomes compact Hausdorff + locally connected + locally contractible — properties implied by being a finite simplicial complex, making the theorem more general, not weaker	A	b95J01-011.txt
invoke-1786551237067-4367-ea0c1b31.txt	b95J01-011.txt	the frozen-statement contract covers theorem text only … neither covers `def` bodies. So a definition can be rewritten, changing what the theorem means, while both hashes still match.	A	b95J01-011.txt
invoke-1786551237067-4367-ea0c1b31.txt	b95J01-011.txt	the forms are pinned pointwise by equations so they can't be faked — `isAlpha` is literally x dy − y dx, `isBeta` exactly x dy∧dz + y dz∧dx + z dx∧dy	A	b95J01-011.txt
invoke-1786551237067-4367-ea0c1b31.txt	b95J01-011.txt	winding number now built (projection → induced map on singular H₁), and stated relationally so neither orientation has to be privileged	A	b95J01-011.txt
invoke-1786551450768-4374-2f7671f2.txt	b00J02-006.txt	Riemann removable singularity theorem applies since |f(z)||z|^{1/2} stays bounded	B	b00J02-005.txt
invoke-1786551044918-4354-58ac9c9f.txt	b97J01-010.txt	the gate's accept criteria never check axioms... That is precisely how all three compiler-trusted closes got through.	A	b97J01-010.txt
invoke-1786551448817-4370-7cba7e65.txt	b00J02-002.txt	the a98A01 lesson was that helper definitions are where surrogates hide. Let me size the full-file read	A	b00J02-002.txt
invoke-1786551448817-4370-7cba7e65.txt	b00J02-002.txt	The orphan copies are at `/tmp/oom-orphans/`. Five kept their statements hash-intact under an unplanned kill, including `b00J02` at zero sorries	A	b00J02-002.txt
invoke-1786551448817-4370-7cba7e65.txt	b00J02-002.txt	it's back in the pool. That's the first time the hash gate has caught a substitution in the wild	A	b00J02-002.txt
invoke-1786551236578-4366-2b2fc4a5.txt	b95J01-010.txt	a failed probe records `axiom-probe-failed` and does not downgrade, since a flaky elaboration shouldn't void real closes	A	b95J01-010.txt
invoke-1786551236578-4366-2b2fc4a5.txt	b95J01-010.txt	Conclusion is `∃!` where the source asks only 'has a fixed point' — stronger than asked, which implies the ask and is true for c < 1, so not a defect.	A	b95J01-010.txt
invoke-1786551234648-4362-017991f5.txt	b95J01-006.txt	Bounded real part on H lets you Möbius-transform into the unit disk, giving a bounded analytic quotient g/h.	A	b95J01-006.txt
invoke-1786551234648-4362-017991f5.txt	b95J01-006.txt	A doubly periodic entire function is bounded on a fundamental parallelogram, so Liouville's theorem makes it constant.	A	b95J01-006.txt
invoke-1786551234648-4362-017991f5.txt	b95J01-006.txt	Maximum modulus on |z|=r forces the polynomial to exceed r somewhere inside the disk.	A	b95J01-006.txt
invoke-1786551234648-4362-017991f5.txt	b95J01-006.txt	Path-independent line integrals imply existence of a global potential, so ω is exact.	A	b95J01-006.txt
invoke-1786551235124-4363-76240979.txt	b95J01-007.txt	the Lefschetz number defined through rational homology isomorphisms and the alternating trace, so the refutation of part (b) now depends on the homology the file proves rather than sitting beside it	A	b95J01-007.txt
invoke-1786551235124-4363-76240979.txt	b95J01-007.txt	a 15 s delta can't see processes that start and exit inside the window, and Lean runs are ~10 s. That flaw applies to the 0.17-core figure I reported.	A	b95J01-007.txt
invoke-1786551449302-4371-aa8182fa.txt	b00J02-003.txt	it dies on the first problem every time. `LEAN_NUM_THREADS=4` didn't help, which means one pathological file.	A	b00J02-003.txt
invoke-1786551452183-4377-bc0a1495.txt	b00J02-009.txt	zero sorry tokens, so our sorry-count gate calls it clean … `#print axioms` exposes them because an errored proof elaborates to `sorryAx`.	A	b00J02-009.txt
invoke-1786551452183-4377-bc0a1495.txt	b00J02-009.txt	22 problems imported `ApmCanaries.Frames.*` oleans that had never been built, so they were unverifiable by any gate we have. Built them (4 s each)	A	b00J02-009.txt
invoke-1786551452183-4377-bc0a1495.txt	b00J02-009.txt	a 15 s delta can't see processes that start and exit inside the window, and Lean runs are ~10 s. That flaw applies to the 0.17-core figure I reported. Re-measuring system-wide from `/proc/stat`	A	b00J02-009.txt
invoke-1786552029076-4419-106b33c9.txt	b01J02-006.txt	the four open-hole duplicates (a97J04/05/06/08) I resolved the other way: the campaign statements are the reviewed contracts, so they enter the bank and the Zone partials get mined for boundary content at merge time	A	b01J02-006.txt
invoke-1786551780659-4403-d193b41a.txt	b96J01-010.txt	the gap is the *proving* templates — `closer.md` and the pass1 provers never mention it. Closing that.	A	b96J01-010.txt
invoke-1786551233136-4359-6ba9e0c6.txt	b95J01-003.txt	Since H₁(X) is finite, any map to the torus (with H₁≅ℤ²) kills π₁, hence is null-homotopic.	A	b95J01-003.txt
invoke-1786551233136-4359-6ba9e0c6.txt	b95J01-003.txt	Rademacher/Walsh-like functions are orthogonal in L^∞, so integrals against bounded f vanish.	A	b95J01-003.txt
invoke-1786551233136-4359-6ba9e0c6.txt	b95J01-003.txt	All maps S¹×S¹→S³ are null-homotopic because π₂(S³)=0	D	
invoke-1786551233136-4359-6ba9e0c6.txt	b95J01-003.txt	Containing a 5-cycle and transposition forces S₅; primitive-group argument.	A	b95J01-003.txt
invoke-1786551454619-4382-e47c1f00.txt	b98A04-003.txt	integrating the derivative's order-by-order remainder forces its expansion coefficients [to match] — improper-FTC argument	D	
invoke-1786551454619-4382-e47c1f00.txt	b98A04-003.txt	No existing declaration closed the factor-occurrence step. The exact required lemma is: `∀ (R M V : Type*) … [IsSimpleModule R V] … StrictMono …`	D	
invoke-1786551450272-4373-0cd4faab.txt	b00J02-005.txt	the statement is now purely combinatorial on the edge word. The arithmetic is right … but nothing ties it to a space: it classifies a word, not a polygon.	A	b00J02-005.txt
invoke-1786551457032-4387-c46eb676.txt	b98A04-008.txt	Bounded real part on H lets you Möbius-transform into the unit disk, giving a bounded analytic quotient g/h.	A	b98A04-008.txt
invoke-1786551457032-4387-c46eb676.txt	b98A04-008.txt	Use a tubular neighborhood to extend the volume form and Stokes to see it can't be closed when the inclusion is null-homotopic.	A	b98A04-008.txt
invoke-1786551457032-4387-c46eb676.txt	b98A04-008.txt	Uniform integrability from L³ bounds follows from Hölder and Chebyshev.	A	b98A04-008.txt
invoke-1786551045387-4355-ab4d36b9.txt	b97J01-011.txt	Before this was scoped, `pass1_gate` wrote the hash it observed into the manifest, so detecting a substitution OVERWROTE the reference the substitution had violated: re-checking then reported clean, and the detector erased its own evidence	A	b97J01-011.txt
invoke-1786551045387-4355-ab4d36b9.txt	b97J01-011.txt	Cheaper than the axiom probe and catches what the probe cannot: `opaque` adds no axioms, so a statement resting on uninterpreted constants passes both the sorry count and the sweep	A	b97J01-011.txt
invoke-1786551045387-4355-ab4d36b9.txt	b97J01-011.txt	a zero-sorry build that compiles says nothing about WHAT closed it	A	b97J01-011.txt
invoke-1786551045387-4355-ab4d36b9.txt	b97J01-011.txt	the prover DECLARES its outcome in the commit message; the gate's job is to verify that claim mechanically, not to re-derive it from heuristics	A	b97J01-011.txt
invoke-1786551045387-4355-ab4d36b9.txt	b97J01-011.txt	mechanism 4/4 shape-independent (wiring=conclusions, sorry=undischarged HOWEVERs); analysis idioms were the gap	A	b97J01-011.txt
invoke-1786551042522-4349-fc4de38b.txt	b97J01-005.txt	a later gate can overwrite it and quietly restore closer-eligibility: on 2026-08-08 b97J01 went flagged -> pending-review (repair) -> pending-review (gate), and the second pending-review erased the flag	A	b97J01-005.txt
invoke-1786551776690-4395-c08008ac.txt	b96J01-002.txt	these are finite computations in a concrete group, so decide or norm_num w…	A	b96J01-002.txt
invoke-1786551780159-4402-3d31ab69.txt	b96J01-009.txt	the ambient norm is wrong, found by the hop-3 closer and confirmed on review. The theorem is stated over a PRODUCT type whose Mathlib norm is the sup norm, not the Euclidean one, so the kernel log(norm (x − y)) is NOT the 2D Newtonian potential.	A	b96J01-009.txt
invoke-1786551043954-4352-9aedda67.txt	b97J01-008.txt	Dispatch FIRST, then log the hop. Logging first spent a hop on a dispatch that never happened, so an exhausted-quota window would silently burn all three hops	A	b97J01-008.txt
invoke-1786551456039-4385-c025acf2.txt	b98A04-006.txt	the named gap is NOT a Mathlib gap … Checked but insufficient: `JordanHolderModule.instJordanHolderLattice`, `CompositionSeries.jordan_holder`, `IsFiniteLength.iff_exists_compositionSeries`	A	b98A04-006.txt
invoke-1786551456039-4385-c025acf2.txt	b98A04-006.txt	Continuity of χ_E * χ_E and positive overlap for small shifts needs convolution/density arguments	A	b98A04-006.txt
invoke-1786551456039-4385-c025acf2.txt	b98A04-006.txt	A nonzero Euler characteristic forbids submersions onto S¹ because it would give a nowhere-vanishing vector field.	B	b98A04-004.txt
invoke-1786551448329-4369-0de6cc9f.txt	b00J02-001.txt	Build disjoint bump functions with heights 1/n so partial sums converge uniformly but the supremum series diverges.	A	b00J02-001.txt
invoke-1786551448329-4369-0de6cc9f.txt	b00J02-001.txt	Scaling coordinates on CP² gives fixed points whose local Lefschetz numbers sum to χ(CP²), and generalizes to CPⁿ.	A	b00J02-001.txt
invoke-1786551448329-4369-0de6cc9f.txt	b00J02-001.txt	Use the double cover S³→RP³ and Stokes to compute the integral.	A	b00J02-001.txt
invoke-1786550892571-4341-7c1e15ee.txt	b98A03-005.txt	Bounded real part on H lets you Möbius-transform into the unit disk, giving a bounded analytic quotient g/h.	A	b98A03-005.txt
invoke-1786550892571-4341-7c1e15ee.txt	b98A03-005.txt	A doubly periodic entire function is bounded on a fundamental parallelogram, so Liouville's theorem makes it constant.	A	b98A03-005.txt
invoke-1786550892571-4341-7c1e15ee.txt	b98A03-005.txt	Degree/induced H₁ map/Lefschetz number follow directly from the integer matrix (2 1; −1 1).	A	b98A03-005.txt
invoke-1786550892571-4341-7c1e15ee.txt	b98A03-005.txt	Use a tubular neighborhood to extend the volume form and Stokes to see it can't be closed when the inclusion is null-homotopic.	A	b98A03-005.txt
invoke-1786550892571-4341-7c1e15ee.txt	b98A03-005.txt	Nonzero intersection number forces the complement Y∖W to stay connected by standard Poincaré duality arguments.	A	b98A03-005.txt
invoke-1786551776208-4394-a5be51be.txt	b96J01-001.txt	the source prescribes a METHOD — evaluate a specific contour integral and use the argument principle — and the proof instead cites Mathlib hasSum_zeta_two and reindexes. The bank gates statements, not routes, so this is recorded rather than flagged	A	b96J01-001.txt
invoke-1786551776208-4394-a5be51be.txt	b96J01-001.txt	thin wrapper over ConstructionTargets/Sinc.lean (647 lines, verified sorry-free and axiom-free); improper integral as the symmetric Icc(-R,R) limit, Real.sinc handles the removable singularity at 0	A	b96J01-001.txt
invoke-1786551232415-4358-107c7a82.txt	b95J01-002.txt	Absolute continuity gives f(x)=∫₀ˣ f′, so Cauchy–Schwarz shows x⁻¹ᐟ²f(x)→0 immediately.	D	
invoke-1786551232415-4358-107c7a82.txt	b95J01-002.txt	Nonzero Euler characteristic forbids submersions onto S¹ because it would give a nowhere-vanishing vector field.	A	b95J01-002.txt
invoke-1786551232415-4358-107c7a82.txt	b95J01-002.txt	Constructing g with g(z²)=f(z) uses analytic square-root factorization and power-series manipulations.	A	b95J01-002.txt
invoke-1786551234154-4361-df1f9611.txt	b95J01-005.txt	For absolutely continuous f, Lipschitzness is equivalent to f′∈L^∞; standard fundamental theorem argument.	A	b95J01-005.txt
invoke-1786551234154-4361-df1f9611.txt	b95J01-005.txt	Transversality to the diagonal forces df_p − I invertible, giving the stated orientation sign.	A	b95J01-005.txt
